#       T       BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
       1.125          20    0.390552    0.389941  0.00142185
        1.15           1    0.390049    0.390049           0
        1.15           2    0.379312    0.384681   0.0037959
        1.15           3    0.382468    0.383943  0.00260128
        1.15           4    0.388129     0.38499  0.00215123
        1.15           5    0.378195    0.383631  0.00210695
        1.15           6    0.376474    0.382438  0.00206604
        1.15           7    0.379663    0.382041  0.00180852
        1.15           8    0.381402    0.381961  0.00158422
        1.15           9    0.373326    0.381002   0.0016737
        1.15          10    0.386633    0.381565  0.00159827
        1.15          11    0.380263    0.381447  0.00145735
        1.15          12    0.388028    0.381995  0.00143538
        1.15          13    0.388774    0.382517  0.00141652
        1.15          14    0.396284      0.3835  0.00162114
        1.15          15    0.383802     0.38352  0.00151319
        1.15          16    0.379441    0.383265  0.00143993
        1.15          17    0.390643    0.383699  0.00141913
        1.15          18    0.379568     0.38347  0.00135873
        1.15          19    0.385685    0.383586  0.00129221
        1.15          20    0.386786    0.383746  0.00123746
       1.175           1    0.382616    0.382616           0
       1.175           2    0.387422    0.385019  0.00169932
       1.175           3    0.378955    0.382998  0.00200186
       1.175           4    0.387151    0.384036  0.00175007
       1.175           5     0.37418    0.382065  0.00225134
       1.175           6    0.372835    0.380527  0.00234346
       1.175           7    0.384831    0.381142  0.00208781
       1.175           8    0.381919    0.381239  0.00182909
       1.175           9    0.382427    0.381371  0.00163062
       1.175          10    0.365746    0.379808   0.0020859
       1.175          11    0.376503    0.379508  0.00191779
       1.175          12    0.371582    0.378847  0.00186826
       1.175          13    0.365888    0.377851  0.00197265
       1.175          14    0.374341      0.3776   0.0018476
       1.175          15    0.389589    0.378399  0.00188942
       1.175          16    0.378074    0.378379  0.00177144
       1.175          17    0.396441    0.379441  0.00196015
       1.175          18    0.370496    0.378944  0.00191321
       1.175          19    0.383126    0.379164  0.00182513
       1.175          20    0.368339    0.378623  0.00181236
         1.2           1    0.371814    0.371814           0
         1.2           2    0.369475    0.370645 0.000827108
         1.2           3    0.365869    0.369053  0.00141196
         1.2           4    0.375536    0.370673  0.00175824
         1.2           5    0.374542    0.371447  0.00156758
         1.2           6    0.379992    0.372871  0.00184299
         1.2           7    0.381272    0.374071   0.0019313
         1.2           8    0.373714    0.374027   0.0016904
         1.2           9    0.369427    0.373516  0.00157794
         1.2          10    0.367866    0.372951  0.00151791
         1.2          11    0.358076    0.371599  0.00188852
         1.2          12    0.380523    0.372342  0.00187186
         1.2          13    0.362776    0.371606  0.00186691
         1.2          14    0.366854    0.371267  0.00176415
         1.2          15    0.375687    0.371562  0.00167097
         1.2          16    0.366663    0.371255  0.00159433
         1.2          17    0.360248    0.370608  0.00162672
         1.2          18    0.364288    0.370257  0.00157378
         1.2          19    0.374599    0.370485  0.00150745
         1.2          20    0.374399    0.370681  0.00144472
       1.225           1    0.364657    0.364657           0
       1.225           2    0.369543      0.3671  0.00172734
       1.225           3    0.361631    0.365277   0.0018819
       1.225           4    0.360701    0.364133  0.00172437
       1.225           5     0.36203    0.363712  0.00142985
       1.225           6    0.365823    0.364064  0.00123406
       1.225           7    0.359315    0.363386  0.00123023
       1.225           8    0.367664    0.363921  0.00118701
       1.225           9     0.35882    0.363354  0.00118268
       1.225          10     0.37476    0.364494  0.00151784
       1.225          11    0.370573    0.365047  0.00147702
       1.225          12    0.370278    0.365483   0.0014168
       1.225          13    0.367391     0.36563   0.0013154
       1.225          14     0.36025    0.365245  0.00127632
       1.225          15    0.362152    0.365039  0.00120778
       1.225          16    0.373786    0.365586  0.00124991
       1.225          17    0.366938    0.365665  0.00117891
       1.225          18    0.364033    0.365575   0.0011169
       1.225          19    0.359401     0.36525  0.00110437
       1.225          20    0.370693    0.365522  0.00108216
        1.25           1    0.353647    0.353647           0
        1.25           2    0.358952      0.3563  0.00187548
        1.25           3    0.360534    0.357711  0.00170038
        1.25           4    0.356995    0.357532  0.00128469
        1.25           5    0.359483    0.357922  0.00108541
        1.25           6    0.356334    0.357658 0.000936212
