#      T         BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         1.1          13     5.59442     5.61567   0.0256729
         1.1          14     5.38825     5.59943   0.0285191
         1.1          15     5.47501     5.59113   0.0277979
         1.1          16     5.46653     5.58335   0.0271295
         1.1          17     5.76305     5.59392   0.0275161
         1.1          18     5.74383     5.60225   0.0272186
         1.1          19     5.24811     5.58361   0.0315283
         1.1          20     5.62057     5.58546    0.030006
       1.125           1      5.3533      5.3533           0
       1.125           2     5.44377     5.39853   0.0319839
       1.125           3     4.50107     5.09938    0.245188
       1.125           4     5.41118     5.17733    0.195891
       1.125           5     5.13222     5.16831     0.15692
       1.125           6     5.09221     5.15562    0.131279
       1.125           7     5.39569     5.18992    0.116918
       1.125           8     5.37365     5.21289    0.104535
       1.125           9     5.32903     5.22579    0.093713
       1.125          10     5.46943     5.25016   0.0874515
       1.125          11      5.2044       5.246   0.0796002
       1.125          12     5.65518     5.28009   0.0799372
       1.125          13     5.36488     5.28662   0.0740538
       1.125          14     4.83824     5.25459   0.0753721
       1.125          15     5.11693     5.24541   0.0709038
       1.125          16     5.08257     5.23523   0.0671988
       1.125          17     5.59054     5.25613   0.0664167
       1.125          18     5.43927     5.26631   0.0635014
       1.125          19      5.4818     5.27765   0.0611637
       1.125          20     5.16473       5.272   0.0583655
        1.15           1     4.84807     4.84807           0
        1.15           2     4.61955     4.73381   0.0807934
        1.15           3     4.92265     4.79676   0.0744491
        1.15           4     5.03233     4.85565   0.0756245
        1.15           5     5.33202     4.95092    0.104508
        1.15           6     4.85078     4.93423   0.0884127
        1.15           7     4.85474     4.92288   0.0765081
        1.15           8      4.6995     4.89496   0.0718593
        1.15           9     4.74018     4.87776   0.0659007
        1.15          10     4.77774     4.86776   0.0600649
        1.15          11     4.61174     4.84448   0.0589413
        1.15          12     4.98372     4.85609   0.0551598
        1.15          13     4.91419     4.86056   0.0510976
        1.15          14     5.09257     4.87713    0.050063
        1.15          15     4.91444     4.87962   0.0467873
        1.15          16      5.0067     4.88756   0.0445322
        1.15          17     5.01183     4.89487   0.0425084
        1.15          18     5.21434     4.91262   0.0436952
        1.15          19       4.583     4.89527   0.0447069
        1.15          20     5.12941     4.90698   0.0439776
       1.175           1     4.65071     4.65071           0
       1.175           2     4.61459     4.63265     0.01277
       1.175           3     4.66998     4.64509   0.0132555
       1.175           4     4.70297     4.65956   0.0159956
       1.175           5     4.53668     4.63498   0.0254348
       1.175           6     4.67341     4.64139   0.0219871
       1.175           7      4.5326     4.62585   0.0237108
       1.175           8     4.57732     4.61978   0.0215088
       1.175           9     4.48103     4.60436   0.0240168
       1.175          10     4.70043     4.61397   0.0234578
       1.175          11     4.69432     4.62128   0.0224337
       1.175          12     4.77743     4.63429   0.0240438
       1.175          13     5.09127     4.66944   0.0404131
       1.175          14      4.3864     4.64922   0.0422821
       1.175          15     4.63038     4.64797   0.0394819
       1.175          16     4.89767     4.66357   0.0399801
       1.175          17      5.0318     4.68523   0.0430982
       1.175          18     4.57867     4.67931   0.0411085
       1.175          19     4.48963     4.66933   0.0401388
       1.175          20     4.57303     4.66452   0.0384196
         1.2           1     4.52088     4.52088           0
         1.2           2     4.45366     4.48727   0.0237647
         1.2           3     4.23139     4.40198   0.0714207
         1.2           4     4.42197     4.40697   0.0537401
         1.2           5     4.53321     4.43222   0.0485616
         1.2           6     4.20652      4.3946   0.0530739
         1.2           7     4.32166     4.38418   0.0465037
         1.2           8     4.40013     4.38618   0.0407335
         1.2           9     4.41182     4.38902    0.036307
         1.2          10     4.57547     4.40767   0.0371563
         1.2          11     4.64884     4.42959   0.0397237
         1.2          12     4.35018     4.42298   0.0369606
