#      T        BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
        1.15           2    0.112752    0.105787    0.004925
        1.15           3    0.100476    0.104017  0.00358743
        1.15           4    0.096446    0.102124  0.00315053
        1.15           5    0.098664    0.101432  0.00259531
        1.15           6    0.096154    0.100552  0.00230702
        1.15           7    0.116458    0.102825  0.00288718
        1.15           8    0.078732    0.099813  0.00378391
        1.15           9    0.124128    0.102515  0.00421912
        1.15          10    0.091934    0.101457  0.00392764
        1.15          11    0.117736    0.102937  0.00383929
        1.15          12     0.09944    0.102645  0.00353039
        1.15          13    0.099056    0.102369   0.0032696
        1.15          14    0.101342    0.102296  0.00303688
        1.15          15    0.086058    0.101213   0.0030212
        1.15          16    0.090828    0.100564  0.00290126
        1.15          17    0.096114    0.100302  0.00274238
        1.15          18    0.091932   0.0998373  0.00262916
        1.15          19    0.086948   0.0991589  0.00257682
        1.15          20    0.110248   0.0997134  0.00250692
       1.175           1    0.085354    0.085354           0
       1.175           2    0.090854    0.088104  0.00194454
       1.175           3    0.096776   0.0909947   0.0026928
       1.175           4    0.081098   0.0885205  0.00294447
       1.175           5     0.10097   0.0910104  0.00324167
       1.175           6    0.122174   0.0962043  0.00545695
       1.175           7    0.093152   0.0957683  0.00469478
       1.175           8    0.100274   0.0963315  0.00414157
       1.175           9    0.097818   0.0964967  0.00368469
       1.175          10    0.109814   0.0978284  0.00354873
       1.175          11     0.09847   0.0978867   0.0032266
       1.175          12    0.114242   0.0992497  0.00323278
       1.175          13    0.080166   0.0977817  0.00330062
       1.175          14    0.080988   0.0965821  0.00327559
       1.175          15    0.088866   0.0960677  0.00309735
       1.175          16    0.111606   0.0970389  0.00305221
       1.175          17    0.104432   0.0974738  0.00290349
       1.175          18    0.085534   0.0968104  0.00281694
       1.175          19    0.087672   0.0963295  0.00270943
       1.175          20     0.08105   0.0955655   0.0026795
         1.2           1    0.091496    0.091496           0
         1.2           2    0.090228    0.090862 0.000448306
         1.2           3    0.104828   0.0955173   0.0038128
         1.2           4    0.083208     0.09244  0.00390894
         1.2           5     0.09289     0.09253  0.00312818
         1.2           6    0.067576    0.088371  0.00460542
         1.2           7     0.10269   0.0904166  0.00437829
         1.2           8     0.08598    0.089862  0.00386596
         1.2           9    0.091146   0.0900047  0.00343904
         1.2          10    0.102398    0.091244  0.00331093
         1.2          11    0.096706   0.0917405  0.00304694
         1.2          12    0.086758   0.0913253  0.00282118
         1.2          13    0.077852   0.0902889  0.00278804
         1.2          14    0.064096    0.088418  0.00315479
         1.2          15    0.086696   0.0883032  0.00294656
         1.2          16    0.085092   0.0881025  0.00276923
         1.2          17    0.080674   0.0876655  0.00264058
         1.2          18    0.076016   0.0870183  0.00257197
         1.2          19    0.074748   0.0863725  0.00251638
         1.2          20    0.091614   0.0866346  0.00240417
       1.225           1    0.077716    0.077716           0
       1.225           2    0.089792    0.083754  0.00426951
       1.225           3    0.090118   0.0858753  0.00333192
       1.225           4    0.077708   0.0838335  0.00306129
       1.225           5      0.0892   0.0849068  0.00263047
       1.225           6    0.080192    0.084121  0.00230644
       1.225           7    0.087152    0.084554  0.00201718
       1.225           8     0.07913    0.083876  0.00187552
       1.225           9     0.07608   0.0830098  0.00185642
       1.225          10    0.081468   0.0828556  0.00167717
       1.225          11    0.104384   0.0848127  0.00240974
       1.225          12     0.07016   0.0835917  0.00249922
       1.225          13      0.0888   0.0839923  0.00233886
       1.225          14    0.082198   0.0838641  0.00217531
       1.225          15    0.081916   0.0837343  0.00203416
       1.225          16    0.078812   0.0834266  0.00193015
       1.225          17    0.074872   0.0829234  0.00188107
       1.225          18      0.0858   0.0830832  0.00178334
       1.225          19    0.072538   0.0825282  0.00177374
       1.225          20    0.087696   0.0827866  0.00170377
        1.25           1    0.086644    0.086644           0
        1.25           2    0.072608    0.079626  0.00496248
        1.25           3    0.085626    0.081626  0.00368939
        1.25           4    0.065456   0.0775835  0.00446239
        1.25           5    0.072214   0.0765096  0.00369687
